time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-23T22:57:04.950Z,35.7491667,-117.5811667,6.39,1.68,ml,26,65,0.06775,0.18,ci,ci39280080,2020-01-24T15:17:20.410Z,"16km W of Searles Valley, CA",earthquake,0.27,0.89,0.201,24,reviewed,ci,ci
2020-01-23T20:31:42.530Z,35.756,-117.582,3.02,1.57,ml,23,65,0.06093,0.21,ci,ci39279880,2020-01-23T20:42:22.320Z,"16km W of Searles Valley, CA",earthquake,0.28,0.67,0.141,25,automatic,ci,ci
2020-01-23T14:23:49.220Z,35.7156667,-117.53,12.31,1.49,ml,22,76,0.114,0.2,ci,ci39279408,2020-01-23T14:49:38.970Z,"13km WSW of Searles Valley, CA",earthquake,0.34,1.07,0.132,23,reviewed,ci,ci
2020-01-23T14:16:26.730Z,35.7131667,-117.5228333,12.79,1.45,ml,18,97,0.119,0.17,ci,ci39279400,2020-01-23T14:27:15.920Z,"12km WSW of Searles Valley, CA",earthquake,0.31,1.12,0.112,19,automatic,ci,ci
2020-01-23T12:14:35.990Z,35.6748333,-117.5233333,8.73,2.34,ml,31,80,0.1012,0.15,ci,ci39279328,2020-01-23T12:25:15.290Z,"15km SW of Searles Valley, CA",earthquake,0.25,0.71,0.152,25,automatic,ci,ci
2020-01-23T10:32:38.550Z,35.5448333,-117.425,2.01,1.3,ml,16,131,0.05146,0.21,ci,ci39279264,2020-01-23T10:36:15.167Z,"24km ESE of Ridgecrest, CA",earthquake,0.42,0.39,0.189,18,automatic,ci,ci
2020-01-23T05:46:10.300Z,35.6733333,-117.5191667,8.33,2.32,ml,33,81,0.09829,0.15,ci,ci39279096,2020-01-23T05:57:32.630Z,"15km SW of Searles Valley, CA",earthquake,0.25,0.78,0.143,26,automatic,ci,ci
2020-01-23T04:52:23.780Z,35.6461667,-117.46,5.89,1.59,ml,23,115,0.05956,0.16,ci,ci39279048,2020-01-23T14:54:36.327Z,"14km SSW of Searles Valley, CA",earthquake,0.32,0.86,0.192,26,reviewed,ci,ci
2020-01-23T04:27:32.860Z,35.648,-117.478,10.24,2.19,ml,30,88,0.0627,0.18,ci,ci39279008,2020-01-23T04:38:10.290Z,"15km SSW of Searles Valley, CA",earthquake,0.29,0.55,0.142,26,automatic,ci,ci
2020-01-23T04:07:14.090Z,35.78,-117.6143333,10.4,1.47,ml,24,58,0.0382,0.17,ci,ci39278984,2020-01-23T04:11:13.708Z,"18km NNE of Ridgecrest, CA",earthquake,0.27,0.6,0.123,22,automatic,ci,ci
2020-01-23T04:02:42.550Z,35.6131667,-117.4833333,5.98,1.43,ml,18,146,0.0317,0.16,ci,ci39278976,2020-01-23T14:55:56.338Z,"17km E of Ridgecrest, CA",earthquake,0.31,0.69,0.157,20,reviewed,ci,ci
2020-01-23T03:57:19.040Z,35.8468333,-117.6828333,3.24,1.35,ml,21,78,0.07596,0.19,ci,ci39278968,2020-01-23T04:01:06.646Z,"22km ESE of Little Lake, CA",earthquake,0.29,0.98,0.163,22,automatic,ci,ci
2020-01-23T01:04:47.490Z,35.8276667,-117.6411667,7.71,1.79,ml,25,61,0.03742,0.16,ci,ci39278880,2020-01-23T01:15:13.380Z,"22km WNW of Searles Valley, CA",earthquake,0.26,0.64,0.14,25,automatic,ci,ci
2020-01-22T14:39:52.900Z,35.5716667,-117.3981667,2.32,1.31,ml,20,63,0.05409,0.2,ci,ci39278160,2020-01-22T22:42:35.431Z,"22km S of Trona, CA",earthquake,0.4,0.44,0.146,18,automatic,ci,ci
